id,roastery_id,owner_id,name,description,address,latitude,longitude,phone_number,category,thumbnail_url,open_time,close_time
1,1,,맨홀커피,"맨홀커피는 맨홀뚜껑을 열고 지하 세계로 들어오면 새로운 세계가 펼쳐진다는 의미로 어딘가 신비로운 느낌의 계단을 두번 꺾어 내려오면 초록색 문이 등장합니다. 문을 열고 들어오면 18-19세기의 영국감성의 가정집을 모티브로 한 공간을 만나 볼 수 있습니다.

흑백티비와 더불어 바는 부엌, 샹들리에 아래는 밥을 먹는 장소, 벽난로와 서재로 인테리어 된 곳 입니다.

맨홀커피는 아늑한 분위기와 아름다운 공간과 더불어 최상의 스페셜티 커피를 제공합니다.

다시 초록색 문을 열고 나가면 여러분은 다시 현실세계로 돌아갈 수 있습니다.

또한 곳곳에 숨겨져 있는 맨홀커피의 7이라는 시그니쳐 표식을 찾는 것은 여러분께 또다른 재미있는 요소가 될 것입니다.

이 영화같은 공간에서의 주인공은 바로 당신입니다.",서울 영등포구 영신로 247 B동상가 지하1층,37.5292718,126.903915,0507-1322-9427,"카페,디저트",,,
2,1,,커피원,인스타그램을 통해 신메뉴 및 이벤트 안내를 하고 있습니다. 링크된 인스타그램을 팔로우해주시면 좋아요^^,서울 종로구 새문안로3길 12 지하1층 20호,37.571309,126.9729085,,"카페,디저트",,,
3,1,,씨크스페셜티커피,"스페셜티커피 전문매장 seek specialty coffee 입니다.
매번 라인업이 바뀌는 핸드드립 커피와 다양한 시그니쳐 음료 그리고 디저트들로 눈도 맛도 만족할 수 있게 노력합니다.
대회 입상경력이 있는 전문 바리스타 챔피언이 내려주는 맛있는 커피와 디저트를 함께 즐겨보세요.

독특한 메뉴와 시그니처 음료로 특별한 커피 경험!
샤로수길에서 진정한 커피의 맛을 찾고 계신가요? 서울대입구역 근처에 위치한 씨크스페셜티커피는 남다른 커피 경험을 선사합니다. 이곳은 다른 카페에서 쉽게 만나기 힘든 독특한 메뉴들로 가득 차 있어, 매번 새로운 즐거움을 느낄 수 있습니다. 특히 다양한 시그니처 음료는 커피 마니아들에게 꾸준한 사랑을 받고 있습니다.

서울대입구역 카페 추천: 특별한 디저트와 커피의 만남
서울대입구역 주변에 있는 많은 카페 중에서도 씨크스페셜티커피는 차별화된 메뉴와 높은 품질로 돋보입니다. 이곳의 핸드드립 커피는 매번 바뀌는 원두 라인업 덕분에 방문할 때마다 새로운 맛을 즐길 수 있습니다. 디저트 또한 다양하게 준비되어 있어, 커피와 함께 색다른 즐거움을 누릴 수 있습니다.

대회 입상 경력의 박민규 바리스타가 선보이는 커피
씨크스페셜티커피의 매력은 독특한 메뉴뿐만 아니라 바리스타의 뛰어난 실력에도 있습니다. 대회에서 여러 차례 입상 경력을 보유한 박민규 바리스타가 정성스럽게 내리는 커피는 그 맛과 향이 특별합니다. 정교한 핸드드립 커피를 맛보고 싶다면 이곳이 최적의 선택입니다.

샤로수길의 특별한 커피 경험을 원한다면
샤로수길에 있는 씨크스페셜티커피는 맛뿐만 아니라 독특한 메뉴 구성으로 커피 애호가들의 발길을 사로잡습니다. 이곳에서만 만날 수 있는 시그니처 음료와 다양하게 준비된 디저트는 매번 방문할 때마다 색다른 경험을 선사합니다. 커피의 맛과 독창성을 동시에 즐기고 싶다면 씨크스페셜티커피를 꼭 방문해 보세요!",서울 관악구 관악로12길 45-12 1층 씨크스페셜티커피,37.4783147,126.9552539,0507-1379-6711,"카페,디저트",,,
4,1,,스페셜티 스튜디오,"문래동 속 작은 도쿄, '스페셜티 스튜디오' 카페

도쿄의 따뜻한 하루를 닮은 커피 한 잔.

직접 로스팅한 원두와 드립커피로 한 잔 한 잔 정성을 담아내요.
고소한 우유 아이스크림과 수제 당고까지 곁들이면 도쿄의 어느 오후처럼, 조용하고 따뜻한 순간이 찾아 옵니다.

커피를 좋아하는 이들이 모이는 곳, 스페셜티 스튜디오 문래점입니다.

<매장에 대한 보충 안내>
저희가 개인적으로 소장하고 있던 지브리 소품들을 손님들과 공감하는 차원에서 매장에서 사용 했었습니다. 하지만 지브리측에서 매장내 관련 소품을 철수하고 관련 사진을 내려달라는 요청이 있어서 소품을 정리하고 네이버 공간 자체를 다시 리셋하게 되었습니다. 손님분들과 저희의 추억이 사라지기는 했지만 다시 새롭고 행복한 추억을 쌓아가길 희망합니다. 함께 해 주시면 너무너무 감사하겠습니다. 더 많은 노력 하겠습니다.^^",서울 영등포구 도림로139길 4 1층(문래동2가),37.5144169,126.8933862,0507-1471-0331,"카페,디저트",,,
5,1,,댓커피,"개성만점 댓커피만의 음료, 디저트를 즐겨보세요.

The Korea Times 2018.November
Maison marie claire 2019.January
ELLE 2019.March
월간커피 2019.April",서울 마포구 백범로1길 60,37.5554467,126.9398794,0507-1356-7188,"카페,디저트",,,
6,1,,액션커피,"액션커피는 흑석동 중앙대학교 근처에 위치한 핸드드립 스페셜티 커피 전문점입니다.
매달 주제를 정해 선별한 싱글오리진 커피를 소개하며, 고급 드립백도 함께 판매하고 있어요.
Panama Geisha부터 에티오피아 내추럴까지, 생두의 본질을 담아 정성껏 내려드립니다.

조용하고 감각적인 공간에서 진짜 커피를 마시고 싶은 분들을 위한 핸드드립 바.
시그니처 궁시리즈 블렌딩도 직접 구성하며, 커피와 어울리는 굿즈와 도자기잔도 선보입니다.",서울 동작구 서달로15길 23 액션커피,37.5084889,126.9616522,0507-1493-0610,"카페,디저트",,,
7,1,,로우키,,서울 성동구 송정6길 5,37.5494383,127.0652142,,"카페,디저트",,,
8,1,,로우베어,"핸드 드립 전문점 로우베어는
엄격한 기준을 통해 선별한 8종 원두를 골라매일 매일 특별한 커피를 드리는 공릉 경춘선 숲길 수제 케이크 카페 카페입니다.

전면 유리통창으로 이루어져 내다보이는 풍경과 마음 차분해지는 음악으로 감성을 자극하여 커피와 분위기에 집중 할 수 있는 로우베어

경춘선 숲길의 풍경과 따뜻함이 공존하는 모던함이 어우러져 방문하는 모든 고객분들이
편안하게 핸드드립 커피를 즐기시며
따스한 하루가 되길 바랍니다

인스타 @rawbear_official을 통해 최신 매장 정보를 확인하세요 : )",서울 노원구 동일로186길 76 1층 101호,37.6254194,127.0772082,0507-1404-8577,"카페,디저트",,,
9,1,,오핀 로스터리,"프리미엄 원두를 직접 로스팅하여 신선하고 다양한 드립커피의 맛을  느낄 수 있는 로스터리 카페입니다. 직접 홈베이킹한 다양한 스콘과 까눌레, 케익류를 함께 즐길 수 있는 공간입니다.",서울 은평구 북한산로 234,37.6513352,126.9375947,0507-1362-5556,카페,,,
10,1,,커피볶는여자 샤로수길본점,"매주 직접 로스팅한 숙성원두로 블랜딩한 원두로
고소하고 묵직한 시그니처 커피를 맛 보실수
있습니다.

한잔 한잔 수작업으로 정성을 다해 주문이 밀렸을시
제조 시간이 좀더 소요될수 있습니다.

2016년부터 작고 아담한 커볶1호점을 이용해주신 단골분들께 항상 감사드립니다. 더욱 넓고 좋은
공간에서 만나뵙겠습니다.

연중무휴
낮 12시 오픈~ 오후 10:40홀 마감",서울 관악구 관악로14가길 2 1층,37.4783294,126.9561265,0507-1396-2829,"카페,디저트",,,
